,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,East Bridgewater,42.0334,-70.9592,60.84,88,1,1.01,US,1633821800
340,Portland,45.5234,-122.6762,65.44,66,75,1.99,US,1633821546
341,Aba,5.1066,7.3667,74.26,96,100,3.65,NG,1633821804
342,Ilebo,-4.3167,20.5833,73.98,82,57,1.7,CD,1633821806
343,Safaga,26.7292,33.9365,78.75,45,0,14.56,EG,1633821808
344,Bafoulabé,13.8065,-10.8321,81.59,66,56,3.33,ML,1633821809
345,Rosarito,32.3333,-117.0333,74.59,58,18,11.56,MX,1633821810
346,Yar-Sale,66.8333,70.8333,29.39,88,47,17.31,RU,1633821812
347,Artigas,-30.4,-56.4667,61.39,90,76,16.46,UY,1633821813
348,Manzhouli,49.6,117.4333,31.44,80,62,21.05,CN,1633821816
349,Termoli,41.9888,14.9895,56.26,73,100,13.02,IT,1633821818
350,Thetford Mines,46.0913,-71.3013,57.27,78,84,4.23,CA,1633821820
351,Manitouwadge,49.1215,-85.8403,59.72,96,88,3.2,CA,1633821821
352,Rabo de Peixe,37.8,-25.5833,72.28,80,40,9.22,PT,1633821824
353,Biak,-0.9131,122.8766,78.24,73,94,4.45,ID,1633821825
